symbol,oversold_bounce_rate,overbought_fall_rate,mr_score,strength,num_oversold,num_overbought
SBILIFE.NS,0.5698324022346368,0.5705329153605015,0.5701826587975691,Strong Mean Reversion,179,319
IDEA.NS,0.4410480349344978,0.5284552845528455,0.4847516597436716,Weak/Trending,229,246
COCHINSHIP.NS,0.5594405594405595,0.5110410094637224,0.535240784452141,Moderate Mean Reversion,143,317
SUPREMEIND.NS,0.4977973568281938,0.5461741424802111,0.5219857496542024,Weak/Trending,227,379
NAUKRI.NS,0.5109170305676856,0.5558375634517766,0.533377297009731,Moderate Mean Reversion,229,394
BEL.NS,0.5560975609756098,0.4719626168224299,0.5140300888990199,Weak/Trending,205,428
ADANIENT.NS,0.5661764705882353,0.4350453172205438,0.5006108939043895,Weak/Trending,136,331
OFSS.NS,0.49333333333333335,0.5433962264150943,0.5183647798742138,Weak/Trending,150,265
MFSL.NS,0.5025125628140703,0.5092838196286472,0.5058981912213587,Weak/Trending,199,377
APLAPOLLO.NS,0.5058823529411764,0.46744186046511627,0.48666210670314636,Weak/Trending,170,430
POLYCAB.NS,0.5877862595419847,0.4804804804804805,0.5341333700112326,Moderate Mean Reversion,131,333
ABB.NS,0.4870689655172414,0.4963144963144963,0.4916917309158688,Weak/Trending,232,407
MRF.NS,0.543859649122807,0.5037406483790524,0.5238001487509297,Weak/Trending,228,401
LICI.NS,0.5862068965517241,0.48872180451127817,0.5374643505315011,Moderate Mean Reversion,87,133
WIPRO.NS,0.5063829787234042,0.4662756598240469,0.4863293192737256,Weak/Trending,235,341
CONCOR.NS,0.5181347150259067,0.5326797385620915,0.5254072267939991,Weak/Trending,193,306
GODREJCP.NS,0.4962686567164179,0.5348189415041783,0.5155437991102981,Weak/Trending,268,359
PIIND.NS,0.49361702127659574,0.537712895377129,0.5156649583268623,Weak/Trending,235,411
NATIONALUM.NS,0.5787234042553191,0.5177304964539007,0.5482269503546099,Moderate Mean Reversion,235,423
COALINDIA.NS,0.5227272727272727,0.49870801033591733,0.510717641531595,Weak/Trending,264,387
CANBK.NS,0.5175438596491229,0.502906976744186,0.5102254181966545,Weak/Trending,228,344
HAVELLS.NS,0.5267489711934157,0.4846938775510204,0.505721424372218,Weak/Trending,243,392
PRESTIGE.NS,0.6081871345029239,0.5012987012987012,0.5547429179008125,Moderate Mean Reversion,171,385
INFY.NS,0.5341880341880342,0.518840579710145,0.5265143069490896,Weak/Trending,234,345
AUROPHARMA.NS,0.5575221238938053,0.527972027972028,0.5427470759329167,Moderate Mean Reversion,226,286
HCLTECH.NS,0.5361702127659574,0.48743718592964824,0.5118036993478028,Weak/Trending,235,398
BAJAJ-AUTO.NS,0.5445544554455446,0.4701670644391408,0.5073607599423426,Weak/Trending,202,419
BOSCHLTD.NS,0.5,0.5058823529411764,0.5029411764705882,Weak/Trending,244,340
SOLARINDS.NS,0.5363128491620112,0.4835443037974684,0.5099285764797398,Weak/Trending,179,395
BRITANNIA.NS,0.505,0.4755244755244755,0.49026223776223776,Weak/Trending,200,429
ONGC.NS,0.5390946502057613,0.5068027210884354,0.5229486856470984,Weak/Trending,243,294
BHARTIARTL.NS,0.5185185185185185,0.524547803617571,0.5215331610680447,Weak/Trending,189,387
TATAELXSI.NS,0.504950495049505,0.48753462603878117,0.49624256054414306,Weak/Trending,202,361
GODREJPROP.NS,0.5162790697674419,0.5243553008595988,0.5203171853135203,Weak/Trending,215,349
KPITTECH.NS,0.49166666666666664,0.4716981132075472,0.4816823899371069,Weak/Trending,120,265
PAGEIND.NS,0.5211864406779662,0.5222772277227723,0.5217318342003692,Weak/Trending,236,404
