symbol,autocorr_1d,autocorr_5d,autocorr_20d,correlation,p_value,strength
INDHOTEL.NS,-0.030779622680045943,0.014500641104335481,0.0030202462089482544,-0.030779622680045932,0.1437040856255454,Weak/Random
INDUSTOWER.NS,-0.03184737917003274,-0.0289125598641357,-0.01056415149334658,-0.03184737917003273,0.13022425261902607,Weak/Random
OIL.NS,0.04282601486678531,-0.016791178170246723,0.023636684963708406,0.04282601486678528,0.041822488823915004,Weak/Random
MOTILALOFS.NS,0.00274293512779022,0.03111565242033673,-0.012986192782473675,0.002742935127790259,0.8963315458104264,Weak/Random
TATACOMM.NS,0.09002087152270079,0.021378323384712707,-0.006660282882124514,0.09002087152270083,1.8357883652301766e-05,Moderate Momentum
HINDPETRO.NS,-0.013894091267651355,-0.016764623404334943,0.0035882068993830034,-0.013894091267651367,0.5092295960560386,Weak/Random
IDFCFIRSTB.NS,0.024912249250349155,0.027165651457421666,-0.02147801709042457,0.02491224925034914,0.2365789298562195,Weak/Random
NYKAA.NS,0.10422486720459967,-0.07138406783518718,-0.018276181546669826,0.10422486720459971,0.0006813780585558098,Strong Momentum
RELIANCE.NS,-0.012027334112013573,0.021698044528600066,-0.005425364070258238,-0.012027334112013578,0.5677619463409528,Weak/Random
BPCL.NS,0.01611004670300402,-0.008121387385279849,-0.0022806897584033902,0.016110046703004022,0.44408144397067006,Weak/Random
LTF.NS,0.013400599189199645,0.041698117390252636,0.008905218487327705,0.013400599189199662,0.5243904324087854,Weak/Random
BHEL.NS,0.009698104610333113,0.03094932138341312,0.005740555348152274,0.009698104610333122,0.6450164895337244,Weak/Random
HYUNDAI.NS,0.04570932707826462,-0.015300615712153362,0.04934762394489469,0.045709327078264625,0.4064503955388513,Weak/Random
INDIANB.NS,0.02355014940512946,0.0012171930280168168,0.02226714664425124,0.023550149405129464,0.2632044589901257,Weak/Random
IOC.NS,-0.00036122424659996684,0.008624725572501579,0.04002907698098276,-0.0003612242465999573,0.9863096884217285,Weak/Random
COROMANDEL.NS,-0.026350049589219902,-0.0015218654110697206,0.032914021153099667,-0.02635004958921991,0.21060117652783328,Weak/Random
BAJAJHLDNG.NS,0.06839258341714063,0.00877759887839175,-0.005693992054448659,0.06839258341714073,0.0011492105183652116,Moderate Momentum
SBICARD.NS,-0.01685974357689101,0.06048834320215748,0.05703583902175094,-0.016859743576891018,0.5181962137797019,Weak/Random
