symbol,num_uptrends,num_downtrends,avg_uptrend_return,avg_downtrend_return,avg_uptrend_days,trend_quality
LICHSGFIN.NS,24,23,-0.41428308155458754,2.3496752074762184,71.16666666666667,-2.763958289030806
GODFRYPHLP.NS,24,24,10.834985025443173,3.597986078529253,74.54166666666667,7.2369989469139195
KOTAKBANK.NS,27,26,-1.6047171976855006,2.9538752937061457,69.51851851851852,-4.5585924913916465
TITAN.NS,23,23,6.490897467057738,4.5327880917448935,90.6086956521739,1.9581093753128442
MARUTI.NS,27,26,3.4336961988341645,1.302122656457739,74.0,2.1315735423764255
HINDALCO.NS,21,21,6.575040868479376,2.560024048664507,86.9047619047619,4.0150168198148695
DIVISLAB.NS,24,23,6.114053546434698,4.928367394570654,84.91666666666667,1.1856861518640436
VOLTAS.NS,25,25,5.476323059043836,3.0547574783067044,77.28,2.421565580737132
PAYTM.NS,7,7,32.7970750771157,-14.329281302530148,130.14285714285714,47.12635637964585
BAJAJHFL.NS,3,3,-0.4747795136213228,-2.502448341599738,29.0,2.0276688279784154
VEDL.NS,23,23,7.798890006985406,3.2292889967257916,80.73913043478261,4.569601010259614
INDHOTEL.NS,26,25,4.614257611376787,4.263014199819808,73.38461538461539,0.3512434115569789
INDUSTOWER.NS,24,25,2.8720419721961097,1.5192315169603885,62.125,1.3528104552357212
OIL.NS,22,23,15.123384841031402,0.08835263385700225,82.5,15.0350322071744
MOTILALOFS.NS,22,21,5.447377647816909,1.2041010684454154,81.04545454545455,4.243276579371494
TATACOMM.NS,24,23,4.194679512332937,4.191922843630613,73.83333333333333,0.002756668702323495
HINDPETRO.NS,28,27,1.4232438820156297,3.907847575272709,61.0,-2.484603693257079
IDFCFIRSTB.NS,22,22,5.290398825896574,-0.43145809758152803,71.72727272727273,5.721856923478102
NYKAA.NS,10,11,-0.45053711093207627,0.8328394590639541,72.4,-1.2833765699960304
RELIANCE.NS,29,28,3.823104493718423,2.6852044418507934,64.96551724137932,1.1379000518676294
BPCL.NS,25,26,2.7655010562684628,3.158046509186635,68.44,-0.39254545291817244
LTF.NS,22,21,5.263578669118571,3.41294438817385,86.36363636363636,1.8506342809447212
BHEL.NS,24,23,8.028899855085541,0.9215054595674926,71.75,7.107394395518049
HYUNDAI.NS,2,2,11.892112467930867,2.527588847820959,91.5,9.364523620109907
INDIANB.NS,27,27,7.3750507315743,3.4565256776773507,69.14814814814815,3.918525053896949
IOC.NS,25,25,3.856452188517432,1.5766845585932108,66.48,2.279767629924221
COROMANDEL.NS,26,25,4.787606355026036,4.710512399693926,74.84615384615384,0.07709395533210994
BAJAJHLDNG.NS,26,25,6.3968981210908575,3.3757615863835766,78.34615384615384,3.021136534707281
SBICARD.NS,13,13,2.393444997582621,2.4472441948959625,78.38461538461539,-0.053799197313341374
VMM.NS,2,1,13.726925098730078,10.341785814780641,91.5,3.385139283949437
HUDCO.NS,23,22,9.713629458140266,0.8473144657567839,70.17391304347827,8.866314992383483
